wave	outcome	exposure	category	events	pyr_10000	rate_per_10000	rate_cl	rate_cu	expcat	hr_conf	hr_conf_imd	hr_conf_resid	hr_conf_obese	hr_conf_all
1	"COVID-19 admission"	"Learning disability register"	"No"	"[REDACTED]"	1.3e+02	2.1311	1.8959	2.3954	0	""	""	""	""	""
1	"COVID-19 admission"	"Learning disability register"	"Yes"	"[REDACTED]"	0.46814	10.6806	4.4456	25.6605	1	"6.21 (2.75, 14.05)"	"6.13 (2.71, 13.9)"	"6.24 (2.76, 14.12)"	"6.25 (2.76, 14.13)"	"6.2 (2.74, 14.05)"
1	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, mild"	"<=5"	0.39832	7.5317	2.4291	23.3526	1	"4.5 (1.59, 12.77)"	"4.44 (1.56, 12.63)"	"4.51 (1.59, 12.8)"	"4.53 (1.6, 12.83)"	"4.47 (1.57, 12.74)"
1	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, profound"	"<=5"	0.06982	28.6443	7.1639	114.5323	2	"14.51 (3.52, 59.79)"	"14.47 (3.51, 59.69)"	"14.7 (3.57, 60.58)"	"14.62 (3.55, 60.31)"	"14.79 (3.58, 61.07)"
1	"COVID-19 admission"	"LDR Severe vs mild"	"No"	"[REDACTED]"	1.3e+02	2.1311	1.8959	2.3954	0	""	""	""	""	""
1	"COVID-19 admission"	"LDR by residential care"	"LDR, community"	"[REDACTED]"	0.46496	10.7535	4.4759	25.8356	1	"6.24 (2.76, 14.12)"	"6.16 (2.72, 13.97)"	". (., .)"	"6.28 (2.78, 14.2)"	"6.2 (2.74, 14.05)"
1	"COVID-19 admission"	"LDR by residential care"	"LDR, residential care"	"[REDACTED]"	0.00317	0.0000			2	"0 (0, 0)"	"0 (0, 0)"	". (., .)"	"0 (0, 0)"	"0 (0, 0)"
1	"COVID-19 admission"	"LDR by residential care"	"No"	"281"	1.3e+02	2.1311	1.8959	2.3954	0	""	""	""	""	""
1	"COVID-19 admission"	"Down's syndrome"	"No"	"[REDACTED]"	1.3e+02	2.1483	1.9125	2.4133	0	""	""	""	""	""
1	"COVID-19 admission"	"Down's syndrome"	"Yes"	"[REDACTED]"	0.13269	15.0729	3.7697	60.2680	1	"6.74 (1.67, 27.27)"	"6.74 (1.67, 27.26)"	"6.74 (1.67, 27.28)"	"6.76 (1.67, 27.37)"	"6.77 (1.67, 27.38)"
1	"COVID-19 admission"	"Cerebral Palsy"	"No"	"[REDACTED]"	1.3e+02	2.1348	1.8997	2.3991	0	""	""	""	""	""
1	"COVID-19 admission"	"Cerebral Palsy"	"Yes"	"[REDACTED]"	0.23289	17.1755	6.4463	45.7626	1	"10.59 (4.2, 26.71)"	"10.52 (4.17, 26.51)"	"10.61 (4.21, 26.75)"	"10.61 (4.21, 26.75)"	"10.55 (4.19, 26.59)"
1	"COVID-19 admission"	"Combined grouping"	"CP and LDR"	"[REDACTED]"	0.02561	39.0466	5.5002	277.1948	4	"23.87 (3.36, 169.75)"	"23.91 (3.37, 169.83)"	"24.18 (3.4, 171.99)"	"23.99 (3.37, 170.6)"	"24.36 (3.43, 173.07)"
