wave	outcome	exposure	imd	category	hr_conf	hr_all	expcat
1	"COVID-19 death"	"Learning disability register"	"1 least deprived"	"No"	""	""	0
1	"COVID-19 death"	"Learning disability register"	"1 least deprived"	"Yes"	"13.63 (8.97, 20.73)"	"8.91 (5.73, 13.85)"	1
1	"COVID-19 death"	"Learning disability register"	"2"	"No"	""	""	0
1	"COVID-19 death"	"Learning disability register"	"2"	"Yes"	"10.55 (7.61, 14.63)"	"7.1 (4.97, 10.16)"	1
1	"COVID-19 death"	"Learning disability register"	"3"	"No"	""	""	0
1	"COVID-19 death"	"Learning disability register"	"3"	"Yes"	"7.76 (5.69, 10.59)"	"5.63 (4, 7.93)"	1
1	"COVID-19 death"	"Learning disability register"	"4"	"No"	""	""	0
1	"COVID-19 death"	"Learning disability register"	"4"	"Yes"	"6.82 (5.08, 9.15)"	"5.49 (4.09, 7.37)"	1
1	"COVID-19 death"	"Learning disability register"	"5 most deprived"	"No"	""	""	0
1	"COVID-19 death"	"Learning disability register"	"5 most deprived"	"Yes"	"5.48 (4.21, 7.12)"	"4.5 (3.44, 5.9)"	1
