wave	outcome	exposure	agebroad	category	hr_conf	hr_conf_imd	hr_conf_resid	hr_conf_comorb	hr_ci5	expcat
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"No"	""	""	""	""	""	0
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"DS and LDR"	"58.05 (44.35, 75.98)"	"55.47 (42.38, 72.61)"	"53.82 (40.76, 71.05)"	"31.13 (23.73, 40.83)"	"29.16 (22.04, 38.57)"	2
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"CP but not LDR"	"3.39 (1.26, 9.13)"	"3.16 (1.17, 8.52)"	"3.38 (1.25, 9.11)"	"3.32 (1.23, 8.94)"	"3.17 (1.18, 8.54)"	3
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"CP and LDR"	"10.34 (4.72, 22.63)"	"9.64 (4.41, 21.09)"	"9.56 (4.36, 20.97)"	"9.7 (4.44, 21.21)"	"8.76 (4, 19.2)"	4
2	"COVID-19 death"	"Combined grouping"	"16-<65"	"LDR with no DS or CP"	"6.85 (5.26, 8.91)"	"6.14 (4.71, 8.02)"	"6.55 (5, 8.58)"	"5.76 (4.43, 7.49)"	"5.26 (4.03, 6.86)"	5
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"No"	""	""	""	""	""	0
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"DS and LDR"	"37.02 (19.56, 70.07)"	"34.79 (18.44, 65.63)"	"33.47 (17.68, 63.37)"	"17.8 (9.59, 33.04)"	"16.33 (8.78, 30.34)"	2
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"CP but not LDR"	"3.8 (1.56, 9.25)"	"3.46 (1.43, 8.4)"	"3.78 (1.55, 9.21)"	"3.65 (1.5, 8.9)"	"3.44 (1.42, 8.37)"	3
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"CP and LDR"	"14.36 (7.02, 29.36)"	"12.88 (6.31, 26.29)"	"13.27 (6.46, 27.29)"	"14.42 (7.07, 29.38)"	"12.84 (6.27, 26.3)"	4
2	"COVID-19 death"	"Combined grouping"	"65-<75"	"LDR with no DS or CP"	"6.83 (5.35, 8.73)"	"6.04 (4.73, 7.72)"	"6.46 (5.04, 8.28)"	"5.75 (4.5, 7.35)"	"5.18 (4.05, 6.62)"	5
2	"COVID-19 death"	"Combined grouping"	"75+"	"No"	""	""	""	""	""	0
2	"COVID-19 death"	"Combined grouping"	"75+"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
2	"COVID-19 death"	"Combined grouping"	"75+"	"DS and LDR"	"9.68 (1.46, 63.93)"	"8.9 (1.37, 57.84)"	"8.98 (1.43, 56.41)"	"7.07 (.95, 52.55)"	"6.58 (.93, 46.73)"	2
2	"COVID-19 death"	"Combined grouping"	"75+"	"CP but not LDR"	"1.7 (.68, 4.28)"	"1.62 (.64, 4.1)"	"1.7 (.68, 4.28)"	"1.79 (.7, 4.54)"	"1.71 (.66, 4.38)"	3
2	"COVID-19 death"	"Combined grouping"	"75+"	"CP and LDR"	"4.4 (1.27, 15.3)"	"4.16 (1.18, 14.67)"	"3.94 (1.1, 14.09)"	"6.39 (1.82, 22.41)"	"5.66 (1.57, 20.43)"	4
2	"COVID-19 death"	"Combined grouping"	"75+"	"LDR with no DS or CP"	"3.93 (3, 5.14)"	"3.45 (2.62, 4.54)"	"3.69 (2.81, 4.85)"	"3.76 (2.87, 4.93)"	"3.31 (2.51, 4.35)"	5
