wave	outcome	exposure	imd	category	hr_conf	hr_all	expcat
2	"COVID-19 death"	"Learning disability register"	"1 least deprived"	"No"	""	""	0
2	"COVID-19 death"	"Learning disability register"	"1 least deprived"	"Yes"	"11.31 (8.01, 15.98)"	"8.16 (5.8, 11.47)"	1
2	"COVID-19 death"	"Learning disability register"	"2"	"No"	""	""	0
2	"COVID-19 death"	"Learning disability register"	"2"	"Yes"	"8.86 (6.44, 12.19)"	"6.98 (5.08, 9.58)"	1
2	"COVID-19 death"	"Learning disability register"	"3"	"No"	""	""	0
2	"COVID-19 death"	"Learning disability register"	"3"	"Yes"	"7.31 (5.57, 9.59)"	"6.17 (4.72, 8.06)"	1
2	"COVID-19 death"	"Learning disability register"	"4"	"No"	""	""	0
2	"COVID-19 death"	"Learning disability register"	"4"	"Yes"	"6.18 (4.9, 7.79)"	"5.45 (4.3, 6.91)"	1
2	"COVID-19 death"	"Learning disability register"	"5 most deprived"	"No"	""	""	0
2	"COVID-19 death"	"Learning disability register"	"5 most deprived"	"Yes"	"4.64 (3.65, 5.89)"	"4.33 (3.4, 5.51)"	1
