wave	outcome	exposure	agebroad	category	hr_conf	hr_conf_imd	hr_conf_resid	hr_conf_comorb	hr_ci5	expcat
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"No"	""	""	""	""	""	0
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"DS but not LDR"	"2.86 (.69, 11.93)"	"2.84 (.68, 11.83)"	"2.85 (.68, 11.9)"	"2.51 (.6, 10.41)"	"2.49 (.6, 10.34)"	1
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"DS and LDR"	"7.28 (5.43, 9.77)"	"7.09 (5.29, 9.52)"	"6.7 (5.01, 8.97)"	"5.33 (3.97, 7.16)"	"4.89 (3.65, 6.55)"	2
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"CP but not LDR"	"3.09 (2.12, 4.5)"	"2.92 (2, 4.27)"	"3.07 (2.11, 4.49)"	"2.95 (2.02, 4.32)"	"2.84 (1.94, 4.15)"	3
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"CP and LDR"	"5.9 (4.22, 8.25)"	"5.58 (3.99, 7.81)"	"5.39 (3.85, 7.54)"	"5.47 (3.91, 7.66)"	"4.83 (3.46, 6.76)"	4
2	"COVID-19 admission"	"Combined grouping"	"16-<65"	"LDR with no DS or CP"	"2.77 (2.39, 3.22)"	"2.52 (2.17, 2.93)"	"2.63 (2.25, 3.06)"	"2.39 (2.06, 2.77)"	"2.14 (1.84, 2.49)"	5
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"No"	""	""	""	""	""	0
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"DS and LDR"	"14.91 (6.78, 32.81)"	"14.01 (6.39, 30.73)"	"12.76 (5.84, 27.89)"	"10.71 (4.91, 23.36)"	"9.03 (4.19, 19.44)"	2
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"CP but not LDR"	"2.51 (1.19, 5.29)"	"2.27 (1.07, 4.79)"	"2.49 (1.18, 5.25)"	"2.4 (1.13, 5.11)"	"2.23 (1.05, 4.76)"	3
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"CP and LDR"	"4.93 (2.19, 11.1)"	"4.37 (1.94, 9.88)"	"4.41 (1.94, 10.03)"	"5.31 (2.32, 12.16)"	"4.44 (1.92, 10.26)"	4
2	"COVID-19 admission"	"Combined grouping"	"65-<75"	"LDR with no DS or CP"	"4.56 (3.67, 5.68)"	"4 (3.22, 4.98)"	"4.19 (3.34, 5.26)"	"4.13 (3.31, 5.14)"	"3.53 (2.81, 4.42)"	5
2	"COVID-19 admission"	"Combined grouping"	"75+"	"No"	""	""	""	""	""	0
2	"COVID-19 admission"	"Combined grouping"	"75+"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
2	"COVID-19 admission"	"Combined grouping"	"75+"	"DS and LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	2
2	"COVID-19 admission"	"Combined grouping"	"75+"	"CP but not LDR"	".83 (.21, 3.35)"	".78 (.19, 3.16)"	".83 (.21, 3.35)"	".93 (.23, 3.77)"	".89 (.22, 3.58)"	3
2	"COVID-19 admission"	"Combined grouping"	"75+"	"CP and LDR"	"8.07 (3.34, 19.46)"	"7.48 (3.06, 18.25)"	"6.9 (2.77, 17.2)"	"11.77 (4.96, 27.92)"	"9.59 (3.89, 23.63)"	4
2	"COVID-19 admission"	"Combined grouping"	"75+"	"LDR with no DS or CP"	"3.23 (2.46, 4.25)"	"2.83 (2.14, 3.74)"	"2.95 (2.22, 3.92)"	"3.41 (2.6, 4.48)"	"2.84 (2.14, 3.78)"	5
