wave	outcome	exposure	imd	category	hr_conf	hr_all	expcat
1	"COVID-19 admission"	"Learning disability register"	"1 least deprived"	"No"	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"1 least deprived"	"Yes"	"7.31 (5.43, 9.84)"	"5.34 (3.96, 7.2)"	1
1	"COVID-19 admission"	"Learning disability register"	"2"	"No"	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"2"	"Yes"	"6.08 (4.78, 7.74)"	"4.42 (3.44, 5.67)"	1
1	"COVID-19 admission"	"Learning disability register"	"3"	"No"	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"3"	"Yes"	"5.63 (4.61, 6.87)"	"4.36 (3.52, 5.39)"	1
1	"COVID-19 admission"	"Learning disability register"	"4"	"No"	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"4"	"Yes"	"5.12 (4.25, 6.16)"	"4.23 (3.52, 5.07)"	1
1	"COVID-19 admission"	"Learning disability register"	"5 most deprived"	"No"	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"5 most deprived"	"Yes"	"3.57 (3.04, 4.2)"	"3.15 (2.67, 3.7)"	1
