wave	outcome	exposure	imd	category	hr_conf	hr_all	expcat
2	"COVID-19 admission"	"Learning disability register"	"1 least deprived"	"No"	""	""	0
2	"COVID-19 admission"	"Learning disability register"	"1 least deprived"	"Yes"	"6.89 (5.67, 8.37)"	"5.04 (4.15, 6.12)"	1
2	"COVID-19 admission"	"Learning disability register"	"2"	"No"	""	""	0
2	"COVID-19 admission"	"Learning disability register"	"2"	"Yes"	"5.67 (4.82, 6.68)"	"4.23 (3.56, 5.03)"	1
2	"COVID-19 admission"	"Learning disability register"	"3"	"No"	""	""	0
2	"COVID-19 admission"	"Learning disability register"	"3"	"Yes"	"4.72 (4.04, 5.52)"	"3.72 (3.18, 4.35)"	1
2	"COVID-19 admission"	"Learning disability register"	"4"	"No"	""	""	0
2	"COVID-19 admission"	"Learning disability register"	"4"	"Yes"	"3.46 (2.99, 4)"	"2.86 (2.47, 3.3)"	1
2	"COVID-19 admission"	"Learning disability register"	"5 most deprived"	"No"	""	""	0
2	"COVID-19 admission"	"Learning disability register"	"5 most deprived"	"Yes"	"3.01 (2.64, 3.44)"	"2.66 (2.33, 3.05)"	1
